accX accY accZ gyroX gyroY gyroZ timestamp Activity
-1.6049805 4.4005127 8.364105 0.0 0.0 0.0 20:12:16.268 standing
-1.5786438 4.4340363 8.426346 0.0 0.0 0.0 20:12:16.271 standing
-1.634903 4.5106506 8.514938 0.0 0.0 0.0 20:12:16.273 standing
-1.6468811 4.429245 8.544861 0.0 0.0 0.0 20:12:16.275 standing
-1.4553375 4.448395 8.672943 0.0 0.0 0.0 20:12:16.276 standing
-1.2374725 4.578888 8.913574 0.0 0.0 0.0 20:12:16.278 standing
-1.2626038 4.587265 8.97702 0.0 0.0 0.0 20:12:16.279 standing
-1.3930817 4.4663544 8.949478 0.0 0.0 0.0 20:12:16.281 standing
-1.4325867 4.412491 8.845337 0.0 0.0 0.0 20:12:16.283 standing
-1.3715363 4.4507904 8.8632965 0.0 0.0 0.0 20:12:16.284 standing
-1.2793579 4.4831085 9.004547 0.0 0.0 0.0 20:12:16.286 standing
-1.2793579 4.4831085 9.004547 -0.015853882 -0.050613403 0.005630493 20:12:16.326 standing
-1.2422485 4.5214233 9.079971 -0.015853882 -0.050613403 0.005630493 20:12:16.473 standing
-1.3392181 4.5022736 8.984192 -0.015853882 -0.050613403 0.005630493 20:12:16.478 standing
-1.46492 4.4627686 8.725616 -0.015853882 -0.050613403 0.005630493 20:12:16.481 standing
-1.5391388 4.4986725 8.547256 -0.015853882 -0.050613403 0.005630493 20:12:16.486 standing
-1.5630798 4.475937 8.480209 -0.015853882 -0.050613403 0.005630493 20:12:16.490 standing
-1.5523071 4.4675446 8.44072 -0.015853882 -0.050613403 0.005630493 20:12:16.493 standing
-1.4493561 4.4555817 8.6107025 -0.015853882 -0.050613403 0.005630493 20:12:16.496 standing
-1.3451996 4.4867096 8.718445 -0.015853882 -0.050613403 0.005630493 20:12:16.497 standing
-1.3392181 4.544159 8.723221 -0.015853882 -0.050613403 0.005630493 20:12:16.498 standing
-1.3176727 4.4986725 8.786682 -0.015853882 -0.050613403 0.005630493 20:12:16.500 standing
-1.480484 4.298767 8.731613 -0.015853882 -0.050613403 0.005630493 20:12:16.501 standing
-1.480484 4.298767 8.731613 -0.08786011 0.10171509 0.017349243 20:12:16.552 standing
-1.555893 4.0485687 8.906387 -0.08786011 0.10171509 0.017349243 20:12:16.695 standing
-1.5738525 3.9252625 8.972229 -0.08786011 0.10171509 0.017349243 20:12:16.700 standing
-1.5295563 4.331085 9.208054 -0.08786011 0.10171509 0.017349243 20:12:16.703 standing
-1.4936371 4.657898 9.567184 -0.08786011 0.10171509 0.017349243 20:12:16.707 standing
-1.322464 4.6950073 9.216431 -0.08786011 0.10171509 0.017349243 20:12:16.711 standing
-1.3140869 4.5058594 8.620285 -0.08786011 0.10171509 0.017349243 20:12:16.714 standing
-1.6887665 4.3167114 8.513733 -0.08786011 0.10171509 0.017349243 20:12:16.716 standing
-1.8276367 4.191025 8.659775 -0.08786011 0.10171509 0.017349243 20:12:16.717 standing
-1.8132629 4.2819977 9.1206665 -0.08786011 0.10171509 0.017349243 20:12:16.719 standing
-1.7019348 4.4400177 9.595917 -0.08786011 0.10171509 0.017349243 20:12:16.721 standing
-1.4505463 4.3765717 9.455856 -0.08786011 0.10171509 0.017349243 20:12:16.723 standing
-1.4505463 4.3765717 9.455856 0.006942749 0.12110901 -0.04763794 20:12:16.731 standing
-1.5104065 4.3765717 8.884842 0.006942749 0.12110901 -0.04763794 20:12:16.895 standing
-1.713913 4.278412 8.572388 0.006942749 0.12110901 -0.04763794 20:12:16.899 standing
-1.9006653 4.180252 9.027298 0.006942749 0.12110901 -0.04763794 20:12:16.902 standing
-1.8994598 4.295166 9.354095 0.006942749 0.12110901 -0.04763794 20:12:16.905 standing
-1.8934784 4.2269287 9.17453 0.006942749 0.12110901 -0.04763794 20:12:16.909 standing
-1.9569244 4.606415 8.870468 0.006942749 0.12110901 -0.04763794 20:12:16.913 standing
-2.1400757 4.472336 8.113907 0.006942749 0.12110901 -0.04763794 20:12:16.915 standing
-2.3615417 4.264038 8.04686 0.006942749 0.12110901 -0.04763794 20:12:16.917 standing
-2.357956 4.041382 8.415573 0.006942749 0.12110901 -0.04763794 20:12:16.919 standing
-2.3555603 4.173065 8.779495 0.006942749 0.12110901 -0.04763794 20:12:16.921 standing
-2.3555603 4.173065 8.779495 -0.110443115 0.15774536 -0.14094543 20:12:16.936 standing
-2.2897186 4.0832825 9.196091 -0.110443115 0.15774536 -0.14094543 20:12:17.099 standing
-2.255005 3.9096985 9.141022 -0.110443115 0.15774536 -0.14094543 20:12:17.104 standing
-2.2334595 3.5984497 8.627457 -0.110443115 0.15774536 -0.14094543 20:12:17.108 standing
-2.3148499 3.8749847 8.379654 -0.110443115 0.15774536 -0.14094543 20:12:17.112 standing
-2.4776611 4.137146 8.4431 -0.110443115 0.15774536 -0.14094543 20:12:17.114 standing
-2.4381561 4.1036377 8.623871 -0.110443115 0.15774536 -0.14094543 20:12:17.116 standing
-2.2095184 3.8354797 8.592743 -0.110443115 0.15774536 -0.14094543 20:12:17.117 standing
-2.2418365 3.7050018 8.397614 -0.110443115 0.15774536 -0.14094543 20:12:17.119 standing
-2.5147705 3.8821716 7.9774323 -0.110443115 0.15774536 -0.14094543 20:12:17.121 standing
-2.5267487 4.037796 7.6889343 -0.110443115 0.15774536 -0.14094543 20:12:17.123 standing
-2.5267487 4.037796 7.6889343 -0.0056152344 0.21398926 0.0064849854 20:12:17.138 standing
-2.3842926 4.1467285 7.9020233 -0.0056152344 0.21398926 0.0064849854 20:12:17.299 standing
-2.2537994 4.156311 8.244385 -0.0056152344 0.21398926 0.0064849854 20:12:17.304 standing
-2.6572266 2.8263245 8.069611 -0.0056152344 0.21398926 0.0064849854 20:12:17.309 standing
-2.9050293 3.0669403 8.188126 -0.0056152344 0.21398926 0.0064849854 20:12:17.314 standing
-3.1384583 4.219757 8.490997 -0.0056152344 0.21398926 0.0064849854 20:12:17.316 standing
